Ranking,Jugador,Selección,Rol ofensivo,Partidos esperados selección,Prob. titularidad,Minutos esperados / partido,Riesgo rotación,Disponibilidad médica,Estado de forma,Ritmo competitivo,Penales,Goles esperados v7-G,P(4+ goles),P(5+ goles),Prob. Bota de Oro,Justificación,market_value_m_eur,tm_squad_signal,team_final_prob,team_champ_prob,tm_goals_multiplier,Goles esperados 8.4A-TM,Probabilidad 8.4A-TM,Ranking 8.4A-TM
1,Kylian Mbappé,Francia,Finalizador principal + penales,6.05,96%,82,Bajo-Medio,Alta,Muy alto,Alto,Sí,4.6,67.4,48.7,13.1,"Ruta francesa fuerte, penales y rol central; se aplica shrinkage por posible gestión de minutos en calor.",1520.0,1.5672590980786936,25.991647938768363,13.45839363915996,1.1162478935550129,5.134740310353059,0.9949401944834592,1
2,Harry Kane,Inglaterra,9 principal + penales,5.82,94%,82,Bajo-Medio,Alta,Muy alto,Muy alto,Sí,4.35,63.2,43.9,11.5,Penales y cuota de xG muy alta; se reduce levemente por gestión de minutos y calor.,1360.0,1.5285841450722164,20.591206939579724,10.60919281892416,1.1008188745940517,4.788562104484124,0.960746501752664,2
3,Erling Haaland,Noruega,"9 principal, máxima cuota de xG",4.62,98%,88,Bajo,Alta,Muy alto,Muy alto,Probable,4.15,59.5,40.0,9.5,Mayor tasa goleadora por 90; principal límite es la ruta esperada de Noruega.,589.9,0.6494104823508045,2.9496074615783536,1.1469426317803575,1.027192423418632,4.262848557187323,0.934637009097138,3
4,Lionel Messi,Argentina,Creador-finalizador + balón parado/penales,5.52,85%,74,Medio-Alto,Media-Alta,Alto,Alto,Sí,3.5,46.3,27.5,6.5,Penales y balón parado sostienen upside; se descuenta administración física.,782.5,0.9606785935154084,18.9415750729493,10.399578229751004,1.0779782347999145,3.7729238217997,0.850734428646799,4
5,Mikel Oyarzabal,España,Delantero / falso 9,5.9,73%,66,Medio-Alto,Media-Alta,Alto,Medio-Alto,Compartido/posible,3.25,40.9,22.8,5.6,España proyecta muchos partidos; incertidumbre de rol y penales limita su probabilidad.,1220.0,1.4173890173846042,27.86296130395914,17.2046909213885,1.1161218960618695,3.627396162201076,0.7564837077979129,5
6,Vinícius Júnior,Brasil,Extremo finalizador,5.46,91%,79,Medio,Alta,Alto,Alto,No/compartido,3.2,39.7,21.9,5.1,Brasil mejora marginalmente en v7; riesgo de reparto ofensivo mantiene techo controlado.,923.2,1.071654183529238,13.24192355866035,6.884064276252134,1.0668584172893707,3.4139469353259866,0.9013911114773986,6
7,Julián Álvarez,Argentina,Delantero móvil / presión / definición,5.52,77%,69,Medio,Alta,Alto,Alto,No/ocasional,3.1,37.5,20.2,4.9,"Buen rol ofensivo, pero competencia interna por cuota de gol lo limita.",782.5,0.9606785935154084,18.9415750729493,10.399578229751004,1.0779782347999145,3.3417325278797345,0.7706653059506299,7
8,Lamine Yamal,España,Extremo creador-finalizador,5.9,88%,74,Medio,Media-Alta,Muy alto,Alto,No/ocasional,2.9,33.0,16.8,4.1,"Alto impacto, pero perfil más creador que 9 y posible protección física.",1220.0,1.4173890173846042,27.86296130395914,17.2046909213885,1.1161218960618695,3.236753498579421,0.9119255655646072,8
9,Luis Díaz,Colombia,Principal amenaza ofensiva,4.9,94%,82,Bajo,Alta,Alto,Alto,No/ocasional,2.85,31.9,16.0,3.5,Alta centralidad ofensiva; menor ruta esperada que los favoritos limita la probabilidad.,302.35,-0.0490845262988991,4.678557001613098,2.099064428273165,1.01020772968214,2.8790920295940987,0.8816650629228419,9
10,Cristiano Ronaldo,Portugal,9 de área + penales,5.6,68%,61,Alto,Media,Medio-Alto,Medio,Sí/compartido,2.6,26.4,12.3,3.1,"Penales sostienen upside; riesgo de minutos, edad y rol reducen expectativa.",1010.0,1.1092670293180964,14.76395961176198,6.944074667587792,1.071996770628056,2.787191603632946,0.6768111123065472,10
